region,date,variable,value
Vestland,2020-01-01,roompricesofar,924
Vestland,2020-01-01,roomcapsofar,38
Vestland,2020-01-01,bedcapsofar,24
Vestland,2020-02-01,rentedrooms,139836
Vestland,2020-02-01,roomprice,949
Vestland,2020-02-01,roomcap,44
Vestland,2020-02-01,bedcap,30
Vestland,2020-02-01,revenue,132720
Vestland,2020-02-01,revperroom,413
Vestland,2020-02-01,revsofar,251929
Vestland,2020-02-01,revroomsofar,380
Vestland,2020-02-01,roompricesofar,937
Vestland,2020-02-01,roomcapsofar,41
Vestland,2020-02-01,bedcapsofar,27
Vestland,2020-03-01,rentedrooms,77596
Vestland,2020-03-01,roomprice,987
Vestland,2020-03-01,roomcap,25
Vestland,2020-03-01,bedcap,14
Vestland,2020-03-01,revenue,76624
Vestland,2020-03-01,revperroom,246
Vestland,2020-03-01,revsofar,328553
Vestland,2020-03-01,revroomsofar,337
Vestland,2020-03-01,roompricesofar,948
Vestland,2020-03-01,roomcapsofar,36
Vestland,2020-03-01,bedcapsofar,23
Vestland,2020-04-01,rentedrooms,32741
Vestland,2020-04-01,roomprice,931
Vestland,2020-04-01,roomcap,21
Vestland,2020-04-01,bedcap,11
Vestland,2020-04-01,revenue,30475
Vestland,2020-04-01,revperroom,195
Vestland,2020-04-01,revsofar,359028
Vestland,2020-04-01,revroomsofar,318
Vestland,2020-04-01,roompricesofar,947
Vestland,2020-04-01,roomcapsofar,34
Vestland,2020-04-01,bedcapsofar,21
Vestland,2020-05-01,rentedrooms,57438
Vestland,2020-05-01,roomprice,1014
Vestland,2020-05-01,roomcap,28
Vestland,2020-05-01,bedcap,17
Vestland,2020-05-01,revenue,58223
Vestland,2020-05-01,revperroom,289
Vestland,2020-05-01,revsofar,417251
Vestland,2020-05-01,revroomsofar,313
Vestland,2020-05-01,roompricesofar,956
Vestland,2020-05-01,roomcapsofar,33
Vestland,2020-05-01,bedcapsofar,20
Vestland,2020-06-01,rentedrooms,117120
Vestland,2020-06-01,roomprice,1135
Vestland,2020-06-01,roomcap,37
Vestland,2020-06-01,bedcap,27
Vestland,2020-06-01,revenue,132948
Vestland,2020-06-01,revperroom,422
Vestland,2020-06-01,revsofar,550199
Vestland,2020-06-01,revroomsofar,334
Vestland,2020-06-01,roompricesofar,994
Vestland,2020-06-01,roomcapsofar,34
Vestland,2020-06-01,bedcapsofar,22
Vestland,2020-07-01,rentedrooms,246177
Vestland,2020-07-01,roomprice,1241
Vestland,2020-07-01,roomcap,65
Vestland,2020-07-01,bedcap,64
Vestland,2020-07-01,revenue,305555
Vestland,2020-07-01,revperroom,802
Vestland,2020-07-01,revsofar,855755
Vestland,2020-07-01,revroomsofar,422
Vestland,2020-07-01,roompricesofar,1070
Vestland,2020-07-01,roomcapsofar,40
Vestland,2020-07-01,bedcapsofar,30
Vestland,2020-08-01,rentedrooms,176553
Vestland,2020-08-01,roomprice,1166
Vestland,2020-08-01,roomcap,44
Vestland,2020-08-01,bedcap,35
Vestland,2020-08-01,revenue,205913
Vestland,2020-08-01,revperroom,516
Vestland,2020-08-01,revsofar,1061667
Vestland,2020-08-01,revroomsofar,437
Vestland,2020-08-01,roompricesofar,1087
Vestland,2020-08-01,roomcapsofar,40
Vestland,2020-08-01,bedcapsofar,30
Møre og Romsdal,2020-01-01,rentedrooms,40941
Møre og Romsdal,2020-01-01,roomprice,814
Møre og Romsdal,2020-01-01,roomcap,37
Møre og Romsdal,2020-01-01,bedcap,22
Møre og Romsdal,2020-01-01,revenue,33337
Møre og Romsdal,2020-01-01,revperroom,299
Møre og Romsdal,2020-01-01,revsofar,33337
